,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia 10 VII,"Sep 19, 2025","Sep 14, 2025",8GB/128GB - €449,,6.02 x 2.83 x 0.33 inches (~0.37 inches with camera bump) 153 x 72 x 8.3 mm (~9.4 mm with camera bump),Back: PlasticFrame: Plastic,Yes; IP68,Fingerprint (touch),"Right: Volume control, Lock/Unlock key, Other","White, Turquoise, Charcoal",,,,,,"6.1-inch, 83.10% screen-to-body","OLED, 120Hz","2340x1080px, 19.5:9 ratio, 422 PPI",Corning Gorilla Glass Armor 2,"HDR support, Scratch-resistant glass, Ambient light sensor, Proximity sensor",,,Snapdragon 6 Gen 3 SM6475-AB (4 nm),Octa-core4x2.4GHz Cortex-A784x1.8G​Hz Cortex-A55,Adreno 710,8GB/128GB,microSDXC 2024,"Android (15), up to 4 OS updates",5000 mAh,,,Dual camera,"50 MP (OIS, PDAF)Aperture size: F1.9Focal length: 24 mmSensor size: 1/1.56""","13 MP (Ultra-wide)Aperture size: F2.4Focal Length: 16 mmSensor size: 1/3""",4K UHD (30 fps),8 MP,,,,5.4,"a,b,g,n,Wi-Fi 6EWi-Fi Direct, Hotspot","Type-C, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,,,,"n1, n3, n5, n7, n8, n20, n28, n38, n40, n41, n77, n78, n79","1, 3, 4, 5, 7, 8, 20, 28","38, 39, 40, 41","LTE-A, HSDPA+ (4G) 42.2 Mbit/s","Nano SIM, eSIM",,,,,,,,
Sony Xperia 1 VII,"Jun 04, 2025","May 13, 2025",12GB/256GB - €149912GB/512GB - €1599,,6.38 x 2.91 x 0.32 inches 162 x 74 x 8.2 mm,Back: Glass (Corning Gorilla Glass Victus)Frame: Aluminum,Yes; IP68,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Moss Green, Orchid Purple, Slate Black",6.95 oz / 197.0 g,,,,,"6.5-inch, 86.59% screen-to-body","OLED, 120Hz, HDR","2340x1080px, 19.5:9 ratio, 396 PPI",Corning Gorilla Glass Victus 2,,,,Snapdragon 8 Elite SM8650-AB (4 nm),Octa-core2x4.32GHz Oryon V2 PhoenixL6x3.53GH​z Oryon V2 PhoenixM,Adreno 830,12GB/256GB (UFS 4.0)12GB/512GB,microSDXC,Android (15),5000 mAh,Fast chargingQi wireless charging,Wired: 30.0WWireless: 15.0W,Triple camera,"48 MP (OIS, PDAF)Aperture size: F1.9Focal length: 24 mmSensor size: 1/1.35""Pixel size: 1.12 μm","12 MP (Telephoto, OIS, PDAF)Optical zoom: 7.1xAperture size: F2.3Focal Length: 85-170 mmSensor size: 1/3.5""Pixel size: 1.0 μm","4K UHD (120 fps), 1080p (120 fps)HDR, Time-lapse video",12 MPVideo capture: 4K UHD (60 fps),"48 MP (Ultra-wide)Aperture size: F2.0Focal Length: 16 mmSensor size: 1/2.9""Pixel size: 1.22 μm",LED,,6.0,"a,b,g,n,ac,Wi-Fi 6,Wi-Fi 6E,Wi-Fi 7Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.2","Accelerometer, Gyroscope, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,,,,5G Ready,,,"LTE-A, HSDPA+ (4G) 42.2 Mbit/s","Nano SIM, eSIM",Yes,,,,,,,
Sony Xperia 1 VI,"Jun 03, 2024","May 15, 2024",€1399,,6.38 x 2.91 x 0.32 inches 162 x 74 x 8.2 mm,Back: Glass (Corning Gorilla Glass Victus)Frame: Aluminum,Yes; IP68,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Black, Platinum silver, Khaki green, Scar red",6.77 oz / 192.0 g,,,,,"6.5-inch, 86.59% screen-to-body","OLED, 120Hz, HDR","2340x1080px, 19.5:9 ratio, 396 PPI",Corning Gorilla Glass Victus 2,,,,Snapdragon 8 Gen 3 SM8650-AB (4 nm),Octa-core1x3.3GHz Cortex-X45x3.2GH​z Cortex-A7202x2.3​GHz Cortex-A520,Adreno 750,12GB/256GB (UFS),microSDXC up to 1024 GB,Android (14),5000 mAh,Fast chargingQi wireless charging,Wired: 30.0W,Triple camera,"48 MP (OIS, PDAF)Aperture size: F1.9Focal length: 24 mmSensor size: 1/1.35""Pixel size: 1.12 μm","12 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/2.5""Pixel size: 1.4 μm","4K UHD (120 fps), 1080p (120 fps)HDR, Time-lapse video",12 MP,"12 MP (Laser autofocus)Optical zoom: 3.0xFocal Length: 85-170 mmSensor size: 1/3.5""",LED,,5.4,"a,b,g,n,ac,Wi-Fi 6,Wi-Fi 6E,Wi-Fi 7Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.2","Accelerometer, Gyroscope, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",Wireless screen share,Noise cancellation,,,,5G Ready,,,"LTE-A, HSDPA+ (4G) 42.2 Mbit/s","Nano SIM, eSIM",Yes,,,,,,,
Sony Xperia 10 VI,"May 28, 2024",,€399,,6.10 x 2.68 x 0.00 inches 155 x 68 8.3 mm,,Yes; IP68,Fingerprint (touch),,"Black, White, Blue",5.78 oz / 164.0 g,,,,,"6.1-inch, 82.41% screen-to-body",60Hz,"2520x1080px, 21:9 ratio, 449 PPI",,,,,Snpadragon 6 Gen 1 SM6450 (4 nm),Octa-core4x2.2 GHz Cortex-A784x1.8 GHz Cortex-A55,Adreno 710,8GB/128GB,microSDXC up to 1500 GB,Android (14),5000 mAh,,Wired: 20.0W,Dual camera,"48 MPAperture size: F1.8Focal length: 26 mmSensor size: 1/2""","8 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/4""",Yes,8 MP,,LED,,5.2,"a,b,g,n,acWi-Fi Direct, Hotspot802.11 a, b, g, n, ac",USB 2.0,"Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",,,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,,,,"n1, n3, n5, n7, n8, n20, n28, n40, n41, n77, n78, n79","1, 3, 4, 5, 7, 8, 20, 28","38, 39, 40, 41",LTE-A,Dual Nano SIM + eSIM,,"1, 4, 5, 8",,,,,,
Sony Xperia 5 V,"Sep 25, 2023","Sep 01, 2023",€999,,6.06 x 2.68 x 0.34 inches 154 x 68 x 8.6 mm,,Yes; IP68,Fingerprint (touch),,,6.46 oz / 183.0 g,,,,,"6.1-inch, 82.96% screen-to-body","OLED, 120Hz","2520x1080px, 21:9 ratio, 449 PPI",Corning Gorilla Glass Victus,,,,Snapdragon 8 Gen 2 SM8550 (4 nm),Octa-core1x3.2GHz Kryo Prime4x2.8GHz Kryo Gold3x2.0GHz Kryo Silve,Adreno 740,8GB/128GB,microSDXC up to 1024 GB,Android (13),5000 mAh,Fast chargingQi wireless charging,Wired: 30.0WWireless: 15.0W,Dual camera,"52 MPSensor size: 1/1.35""","12 MP (Ultra-wide)Sensor size: 1/2.5""",4K UHD (120 fps),12 MP,,LED,,5.2,"a,b,g,n,ac,Wi-Fi 6Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax",Type-C,"Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",Wireless screen share,Noise cancellation,,,,5G Ready,,,,Nano SIM,,,,,,,,
Sony Xperia 1 V,"Jul 28, 2023","May 11, 2023",12GB/256GB - $1399,,6.50 x 2.80 x 0.33 inches 165 x 71 x 8.3 mm,Back: Glass (Corning Gorilla Glass Victus)Frame: Aluminum,Yes; IP68,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Black, Khaki Green, Platinum Silver",6.60 oz / 187.0 g,,,,,"6.5-inch, 83.99% screen-to-body","OLED, 120Hz, HDR","3840x1644px, 21:9 ratio, 643 PPI",Corning Gorilla Glass Victus 2,,,,Snapdragon 8 Gen 2 SM8550 (4 nm),Octa-core1x3.2GHz Kryo Prime4x2.8GHz Kryo Gold3x2.0GHz Kryo Silve,Adreno 740,12GB/256GB (UFS)12GB/512GB,microSDXC up to 1024 GB,Android (13),5000 mAh,Fast chargingQi wireless charging,Wired: 30.0WWireless: 15.0W,Triple camera,"48 MP (OIS, PDAF)Aperture size: F1.9Focal length: 24 mmSensor size: 1/1.35""Pixel size: 1.12 μm","12 MP (Ultra-wide)Aperture size: F2.2Focal Length: 85-16 mmSensor size: 1/2.5""","4K UHD (120 fps), 1080p (120 fps)HDR, Time-lapse video",12 MP,"12 MP (Telephoto, OIS, PDAF)Optical zoom: 5.2xAperture size: F2.3Focal Length: 85-125 mmSensor size: 1/3.5""",LED,,5.3,"a,b,g,n,ac,Wi-Fi 6,Wi-Fi 6EWi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.2","Accelerometer, Gyroscope, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,,,,"n1, n2, n3, n5, n7, n8, n20, n25, n28, n30, n38, n40, n41, n66, n71, n78, n260, n261, SA, NSA, mmWave","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 30, 32, 66, 71","34, 38, 39, 40, 41, 46, 48","LTE-A, HSDPA+ (4G) 42.2 Mbit/s",Dual Nano SIM + eSIM,,"1, 2, 4, 5, 6, 8",,,,,,
Sony Xperia 10 V,"Jun 21, 2023",,,,6.10 x 2.68 x 0.33 inches 155 x 68 x 8.3 mm,Back: PlasticFrame: Plastic,Yes; IP68,Fingerprint (touch),,"Black, White, Sage Green, Lavender",5.61 oz / 159.0 g,,,,,"6.1-inch, 82.41% screen-to-body","OLED, 60Hz, HDR","2520x1080px, 21:9 ratio, 449 PPI",Corning Gorilla Glass Victus,,,,Snapdragon 695 5G SM6375 (6 nm),Octa-core2x2.2GHz Kryo 660 Gold6x1.7GHz Kryo 660 Silve,Adreno 619,6GBROM: 128 MB,microSDXC,Android (13),5000 mAh,Fast charging,,Triple camera,"48 MP (OIS, PDAF)Aperture size: F1.8Focal length: 26 mmSensor size: 1/2""Pixel size: 0.8 μm","8 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/4""Pixel size: 1.12 μm",Yes,8 MP,"8 MP (Telephoto)Optical zoom: 2.0xAperture size: F2.2Focal Length: 54 mmSensor size: 1/4.4""",LED,,5.1,"a,b,g,n,acWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,,,,"n1, n3, n5, n7, n8, n20, n28, n38, n40, n41, n77, n79","1, 3, 4, 5, 7, 8, 20, 28","38, 39, 40, 41","LTE-A, HSDPA+ (4G) 42.2 Mbit/s","Nano SIM, eSIM",Yes,"1, 4, 5, 8",,,,,,
Sony Xperia 5 IV,"Sep 22, 2022",,,,6.14 x 2.64 x 0.32 inches 156 x 67 x 8.2 mm,Back: Glass,Yes; IP68,Fingerprint (touch),,,6.07 oz / 172.0 g,,,,,"6.1-inch, 83.11% screen-to-body","OLED, 120Hz, HDR","2520x1080px, 21:9 ratio, 449 PPI",Corning Gorilla Glass Victus,,,,Snapdragon 8 Gen 1 SM8450 (4 nm),Octa-core,Adreno 730,8GB/128GB,microSDXC up to 1024 GB,"Android (13, 12)",5000 mAh,"Qi wireless charging, Reverse wired charging",Wired: 30.0W,Triple camera,"12 MP (OIS, Autofocus)Sensor size: 1/1.7""Pixel size: 1.8 μm","12 MP (Ultra-wide)Aperture size: F2.4Sensor size: 1/2.5""",Yes,12 MP,"12 MP (Telephoto, OIS)Optical zoom: 2.5xAperture size: F2.4",LED,,5.2,"a,b,g,n,ac,Wi-Fi 6Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,,,,5G Ready,,,"LTE-A, HSDPA+ (4G) 42.2 Mbit/s",Dual Nano SIM,,,,,,,,
Sony Xperia 10 IV,"Jun 30, 2022","May 11, 2022",,,6.02 x 2.64 x 0.33 inches 153 x 67 x 8.3 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Plastic,Yes; IP68,Fingerprint (touch),Left: Volume control; Right: Lock/Unlock key,"Black, White, Blue, Pink",5.68 oz / 161.0 g,,,,,"6.0-inch, 82.02% screen-to-body",OLED,"2520x1080px, 21:9 ratio, 457 PPI",Corning Gorilla Glass Victus,,,,Snapdragon 695 SM6375,Octa-core2x2.2GHz Kryo 660 Gold6x1.7GHz Kryo 660 Silve,Adreno 619,6GB/128GB,microSDXC,Android (12),5000 mAh,Fast charging,Wired: 30.0W,Triple camera,"12 MP (PDAF)Aperture size: F1.8Focal length: 27 mmSensor size: 1/2.8""","8 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/4""",Yes,8 MP,"8 MP (Telephoto, OIS, PDAF)Optical zoom: 2.0xAperture size: F2.4Focal Length: 54 mmSensor size: 1/4""",LED,,5.1,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, QZSS, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Loudspeaker",,,,,,"n1, n3, n7, n8, n28, n38, n41, n77, n78, n79","1, 3, 4, 5, 7, 8, 20, 28","38, 39, 40, 41","LTE-A, HSDPA+ (4G) 42.2 Mbit/s",Nano SIM,Yes,"1, 4, 5, 8",,,,,,
Sony Xperia 1 IV,"May 30, 2022","May 11, 2022",,,6.50 x 2.80 x 0.32 inches 165 x 71 x 8.2 mm,Back: Glass (Corning Gorilla Glass Victus)Frame: Aluminum,Yes; IP67,Fingerprint (touch),"Right: Volume control, Lock/Unlock key, Other",,6.53 oz / 185.0 g,,,,,"6.5-inch, 83.99% screen-to-body","OLED, 120Hz","3840x1644px, 21:9 ratio, 643 PPI",Corning Gorilla Glass Victus,,,,Snapdragon 8 Gen 1 SM8450 (4 nm),Octa-core1x3.00GHz Cortex-X23x2.50G​Hz Cortex-A7104x1.8​0GHz Cortex-A510,Adreno 730,12GB (LPDDR5)/256GB16GB/512GB,microSDXC,"Android (13, 12)",5000 mAh,Fast chargingQi wireless charging,Wired: 30.0W,Quad camera,"12 MP (OIS, PDAF)Aperture size: F1.7Focal length: 24 mmSensor size: 1/1.7""Pixel size: 1.8 μm",12 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mm,Yes,12 MP,"12 MP (Telephoto, OIS, PDAF)Optical zoom: 5.2xAperture size: F2.3",LED,ToF 3D depth sensing,5.2,"a,b,g,n,ac,Wi-Fi 6Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Loudspeaker",,,,,,"n1, n2, n3, n5, n7, n8, n20, n28, n38, n40, n41, n66, n71, n77, n78, n260, n261, SA, NSA, Sub-6, mmWave","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66, 71","34, 38, 39, 40, 41, 46, 48","LTE-A, HSDPA+ (4G) 42.2 Mbit/s",Nano SIM,Yes,"1, 2, 4, 5, 6, 8",,,,,,
